[12:28:55 +   0s] chunk N: all frames present — skipping (idempotent resume)
[12:28:55 +   0s] chunk N2: all frames present — skipping (idempotent resume)
[12:28:55 +   0s] chunk A (hero): srcTree 9fb6101f27556a12 — booting (own lock hold)
· waiting for capture lock (10s, held by pid 13718)
· waiting for capture lock (20s, held by pid 13718)
· waiting for capture lock (31s, held by pid 13718)
· waiting for capture lock (41s, held by pid 13718)
· waiting for capture lock (51s, held by pid 13718)
· waiting for capture lock (62s, held by pid 13718)
· waiting for capture lock (73s, held by pid 13718)
· waiting for capture lock (84s, held by pid 13718)
· waiting for capture lock (95s, held by pid 13718)
· waiting for capture lock (106s, held by pid 13718)
· waiting for capture lock (116s, held by pid 13718)
· waiting for capture lock (127s, held by pid 13718)
· waiting for capture lock (138s, held by pid 13718)
· waiting for capture lock (149s, held by pid 13718)
