[21:23:36] pre-edit: queueing for the capture lock (FIFO; polite wait behind current holders)
[21:23:47]   waiting for lock (11s, holder pid 6863)
[21:23:58]   waiting for lock (22s, holder pid 6863)
[21:24:08]   waiting for lock (32s, holder pid 32027)
[21:24:19]   waiting for lock (43s, holder pid 32027)
[21:24:30]   waiting for lock (53s, holder pid 32027)
[21:24:40]   waiting for lock (63s, holder pid 32027)
[21:24:50]   waiting for lock (74s, holder pid 32027)
[21:25:01]   waiting for lock (84s, holder pid 32027)
[21:25:11]   waiting for lock (95s, holder pid 32027)
[21:25:21]   waiting for lock (105s, holder pid 32027)
[21:25:32]   waiting for lock (116s, holder pid 32027)
[21:25:42]   waiting for lock (126s, holder pid 32027)
[21:25:53]   waiting for lock (137s, holder pid 32027)
[21:26:03]   waiting for lock (147s, holder pid 32027)
[21:26:14]   waiting for lock (158s, holder pid 32027)
[21:26:25]   waiting for lock (169s, holder pid 32027)
[21:26:35]   waiting for lock (179s, holder pid 32027)
[21:26:46]   waiting for lock (190s, holder pid 32027)
[21:26:56]   waiting for lock (200s, holder pid 32027)
[21:27:07]   waiting for lock (211s, holder pid 32027)
[21:27:18]   waiting for lock (222s, holder pid 32027)
[21:27:29]   waiting for lock (233s, holder pid 32027)
[21:27:40]   waiting for lock (244s, holder pid 32027)
[21:27:51]   waiting for lock (255s, holder pid 32027)
[21:28:02]   waiting for lock (266s, holder pid 32027)
[21:28:13]   waiting for lock (277s, holder pid 32027)
[21:28:24]   waiting for lock (287s, holder pid 32027)
[21:28:34]   waiting for lock (298s, holder pid 32027)
[21:28:44]   waiting for lock (308s, holder pid 32027)
[21:28:55]   waiting for lock (318s, holder pid 32027)
[21:29:05]   waiting for lock (329s, holder pid 32027)
[21:29:15]   waiting for lock (339s, holder pid 32027)
[21:29:26]   waiting for lock (349s, holder pid 32027)
[21:29:36]   waiting for lock (360s, holder pid 32027)
[21:29:47]   waiting for lock (371s, holder pid 32027)
[21:29:57]   waiting for lock (381s, holder pid 32027)
[21:30:08]   waiting for lock (391s, holder pid 32027)
[21:30:18]   waiting for lock (402s, holder pid 32027)
[21:30:28]   waiting for lock (412s, holder pid 32027)
[21:30:39]   waiting for lock (422s, holder pid 32027)
[21:30:50]   waiting for lock (434s, holder pid 32027)
[21:31:00]   waiting for lock (444s, holder pid 32027)
[21:31:11]   waiting for lock (454s, holder pid 32027)
[21:31:21]   waiting for lock (465s, holder pid 32027)
[21:31:31]   waiting for lock (475s, holder pid 32027)
[21:31:42]   waiting for lock (486s, holder pid 32027)
[21:31:53]   waiting for lock (497s, holder pid 32027)
[21:32:03]   waiting for lock (507s, holder pid 32027)
[21:32:15]   waiting for lock (518s, holder pid 32027)
[21:32:25]   waiting for lock (529s, holder pid 32027)
[21:32:36]   waiting for lock (539s, holder pid 32027)
[21:32:46]   waiting for lock (549s, holder pid 32027)
[21:32:56]   waiting for lock (559s, holder pid 32027)
[21:33:07]   waiting for lock (570s, holder pid 32027)
[21:33:17]   waiting for lock (581s, holder pid 32027)
[21:33:27]   waiting for lock (591s, holder pid 32027)
[21:33:37]   waiting for lock (601s, holder pid 32027)
[21:33:48]   waiting for lock (612s, holder pid 32027)
[21:33:59]   waiting for lock (623s, holder pid 32027)
[21:34:09]   waiting for lock (633s, holder pid 32027)
[21:34:20]   waiting for lock (643s, holder pid 32027)
[21:34:30]   waiting for lock (653s, holder pid 32027)
[21:34:40]   waiting for lock (664s, holder pid 32027)
[21:34:51]   waiting for lock (674s, holder pid 32027)
[21:35:01]   waiting for lock (684s, holder pid 32027)
[21:35:11]   waiting for lock (695s, holder pid 32027)
[21:35:22]   waiting for lock (705s, holder pid 32027)
[21:35:32]   waiting for lock (716s, holder pid 32027)
[21:35:44]   waiting for lock (727s, holder pid 32027)
[21:35:54]   waiting for lock (737s, holder pid 32027)
[21:36:05]   waiting for lock (748s, holder pid 32027)
[21:36:15]   waiting for lock (759s, holder pid 32027)
[21:36:26]   waiting for lock (770s, holder pid 32027)
[21:36:37]   waiting for lock (780s, holder pid 32027)
[21:36:47]   waiting for lock (790s, holder pid 32027)
[21:36:58]   waiting for lock (801s, holder pid 32027)
[21:37:08]   waiting for lock (812s, holder pid 32027)
[21:37:19]   waiting for lock (823s, holder pid 32027)
[21:37:29]   waiting for lock (833s, holder pid 32027)
[21:37:39]   waiting for lock (843s, holder pid 32027)
[21:37:50]   waiting for lock (854s, holder pid 32027)
[21:38:01]   waiting for lock (864s, holder pid 32027)
[21:38:11]   waiting for lock (875s, holder pid 32027)
[21:38:22]   waiting for lock (885s, holder pid 32027)
[21:38:32]   waiting for lock (896s, holder pid 32027)
[21:38:43]   waiting for lock (907s, holder pid 32027)
