[12:07:13 +   0s] bootId 473c315a-f63  srcTree bea5de83c61c5806 — booting (harness takes the FIFO ticket)
· waiting for capture lock (10s, held by pid 12695)
· waiting for capture lock (21s, held by pid 12695)
· waiting for capture lock (31s, held by pid 12695)
· waiting for capture lock (42s, held by pid 12695)
· waiting for capture lock (53s, held by pid 12695)
· waiting for capture lock (63s, held by pid 12695)
· waiting for capture lock (73s, held by pid 12695)
· waiting for capture lock (84s, held by pid 12695)
· waiting for capture lock (95s, held by pid 12695)
· waiting for capture lock (106s, held by pid 12695)
· waiting for capture lock (116s, held by pid 12695)
· waiting for capture lock (127s, held by pid 12695)
· waiting for capture lock (137s, held by pid 12695)
· waiting for capture lock (147s, held by pid 12695)
· waiting for capture lock (158s, held by pid 12695)
· waiting for capture lock (169s, held by pid 12695)
· waiting for capture lock (180s, held by pid 12695)
· waiting for capture lock (190s, held by pid 12695)
· waiting for capture lock (201s, held by pid 12695)
· waiting for capture lock (211s, held by pid 12695)
· waiting for capture lock (222s, held by pid 12695)
· waiting for capture lock (232s, held by pid 12695)
· waiting for capture lock (243s, held by pid 12695)
· waiting for capture lock (253s, held by pid 12695)
· waiting for capture lock (264s, held by pid 12695)
· waiting for capture lock (274s, held by pid 12695)
· waiting for capture lock (284s, held by pid 12695)
· waiting for capture lock (295s, held by pid 12695)
· waiting for capture lock (305s, held by pid 12695)
· waiting for capture lock (315s, held by pid 12695)
· waiting for capture lock (326s, held by pid 12695)
· waiting for capture lock (337s, held by pid 12695)
· waiting for capture lock (348s, held by pid 12695)
· waiting for capture lock (358s, held by pid 12695)
· waiting for capture lock (368s, held by pid 12695)
· waiting for capture lock (379s, held by pid 12695)
· waiting for capture lock (389s, held by pid 12695)
· waiting for capture lock (400s, held by pid 12695)
· waiting for capture lock (410s, held by pid 12695)
· waiting for capture lock (421s, held by pid 12695)
· waiting for capture lock (431s, held by pid 12695)
· waiting for capture lock (442s, held by pid 12695)
· waiting for capture lock (452s, held by pid 12695)
· waiting for capture lock (463s, held by pid 12695)
· waiting for capture lock (473s, held by pid 12695)
· waiting for capture lock (483s, held by pid 12695)
· waiting for capture lock (494s, held by pid 12695)
· waiting for capture lock (504s, held by pid 12695)
· waiting for capture lock (514s, held by pid 12695)
· waiting for capture lock (524s, held by pid 12695)
· waiting for capture lock (535s, held by pid 12695)
· waiting for capture lock (545s, held by pid 12695)
· waiting for capture lock (556s, held by pid 12695)
· waiting for capture lock (566s, held by pid 12695)
· waiting for capture lock (576s, held by pid 13255)
· waiting for capture lock (587s, held by pid 13255)
· waiting for capture lock (597s, held by pid 13255)
· waiting for capture lock (608s, held by pid 13255)
· waiting for capture lock (618s, held by pid 13255)
· waiting for capture lock (628s, held by pid 13255)
· waiting for capture lock (638s, held by pid 13255)
· waiting for capture lock (649s, held by pid 13255)
· waiting for capture lock (659s, held by pid 13255)
· waiting for capture lock (670s, held by pid 13255)
· waiting for capture lock (681s, held by pid 13255)
· waiting for capture lock (691s, held by pid 13255)
· waiting for capture lock (701s, held by pid 13255)
· waiting for capture lock (712s, held by pid 13255)
· waiting for capture lock (722s, held by pid 13255)
· waiting for capture lock (732s, held by pid 13255)
· waiting for capture lock (743s, held by pid 13255)
· waiting for capture lock (754s, held by pid 13255)
· waiting for capture lock (765s, held by pid 13255)
· waiting for capture lock (776s, held by pid 13255)
· waiting for capture lock (786s, held by pid 13255)
· waiting for capture lock (796s, held by pid 13255)
· waiting for capture lock (807s, held by pid 13255)
· waiting for capture lock (818s, held by pid 13255)
· waiting for capture lock (828s, held by pid 13255)
· waiting for capture lock (838s, held by pid 13255)
· waiting for capture lock (849s, held by pid 13255)
· waiting for capture lock (859s, held by pid 13255)
· waiting for capture lock (869s, held by pid 13255)
· waiting for capture lock (879s, held by pid 13255)
· waiting for capture lock (890s, held by pid 13255)
· waiting for capture lock (901s, held by pid 13255)
· waiting for capture lock (912s, held by pid 13255)
