· waiting for capture lock (10s, held by pid 8312)
· waiting for capture lock (21s, held by pid 8312)
· waiting for capture lock (31s, held by pid 8312)
· waiting for capture lock (42s, held by pid 8312)
· waiting for capture lock (52s, held by pid 8312)
· waiting for capture lock (62s, held by pid 8312)
· waiting for capture lock (73s, held by pid 8312)
· waiting for capture lock (84s, held by pid 8312)
· waiting for capture lock (94s, held by pid 8312)
· waiting for capture lock (104s, held by pid 8312)
· waiting for capture lock (115s, held by pid 8312)
· waiting for capture lock (125s, held by pid 8312)
· waiting for capture lock (135s, held by pid 8312)
· waiting for capture lock (145s, held by pid 8312)
· waiting for capture lock (157s, held by pid 8312)
· waiting for capture lock (167s, held by pid 8312)
· waiting for capture lock (178s, held by pid 8312)
· waiting for capture lock (189s, held by pid 8312)
· waiting for capture lock (199s, held by pid 8312)
· waiting for capture lock (210s, held by pid 8312)
· waiting for capture lock (221s, held by pid 8312)
· waiting for capture lock (231s, held by pid 8312)
· waiting for capture lock (242s, held by pid 8312)
· waiting for capture lock (253s, held by pid 8312)
· waiting for capture lock (263s, held by pid 8312)
· waiting for capture lock (273s, held by pid 8312)
· waiting for capture lock (283s, held by pid 8312)
· waiting for capture lock (293s, held by pid 8312)
· waiting for capture lock (304s, held by pid 8312)
· waiting for capture lock (314s, held by pid 8312)
· waiting for capture lock (325s, held by pid 8312)
· waiting for capture lock (336s, held by pid 8312)
· waiting for capture lock (346s, held by pid 8312)
· waiting for capture lock (357s, held by pid 8312)
· waiting for capture lock (368s, held by pid 8312)
· waiting for capture lock (378s, held by pid 8312)
· waiting for capture lock (389s, held by pid 8312)
· waiting for capture lock (400s, held by pid 8312)
· waiting for capture lock (410s, held by pid 8312)
· waiting for capture lock (420s, held by pid 8312)
· waiting for capture lock (430s, held by pid 8312)
· waiting for capture lock (441s, held by pid 8312)
· waiting for capture lock (451s, held by pid 8312)
· waiting for capture lock (462s, held by pid 8312)
· waiting for capture lock (472s, held by pid 8312)
· waiting for capture lock (483s, held by pid 8312)
· waiting for capture lock (493s, held by pid 8312)
· waiting for capture lock (503s, held by pid 8312)
· waiting for capture lock (514s, held by pid 8312)
· waiting for capture lock (525s, held by pid 8312)
· waiting for capture lock (535s, held by pid 8312)
· waiting for capture lock (545s, held by pid 8312)
· waiting for capture lock (556s, held by pid 8312)
· waiting for capture lock (566s, held by pid 8312)
· waiting for capture lock (576s, held by pid 8312)
· waiting for capture lock (587s, held by pid 8312)
· waiting for capture lock (598s, held by pid 8312)
· waiting for capture lock (609s, held by pid 8312)
· waiting for capture lock (619s, held by pid 8312)
· waiting for capture lock (630s, held by pid 8312)
· waiting for capture lock (640s, held by pid 8312)
· waiting for capture lock (650s, held by pid 8312)
· waiting for capture lock (661s, held by pid 8312)
· waiting for capture lock (672s, held by pid 8312)
· waiting for capture lock (682s, held by pid 8312)
· waiting for capture lock (693s, held by pid 8312)
· waiting for capture lock (703s, held by pid 8312)
· waiting for capture lock (714s, held by pid 8312)
· waiting for capture lock (725s, held by pid 8312)
· waiting for capture lock (736s, held by pid 8312)
· waiting for capture lock (746s, held by pid 8312)
· waiting for capture lock (756s, held by pid 8312)
· waiting for capture lock (766s, held by pid 8312)
· waiting for capture lock (777s, held by pid 8312)
· waiting for capture lock (788s, held by pid 8312)
· waiting for capture lock (798s, held by pid 8312)
· waiting for capture lock (808s, held by pid 8312)
· waiting for capture lock (819s, held by pid 8312)
· waiting for capture lock (829s, held by pid 8312)
· waiting for capture lock (839s, held by pid 8312)
· waiting for capture lock (850s, held by pid 8312)
· waiting for capture lock (860s, held by pid 8312)
· waiting for capture lock (871s, held by pid 8312)
· waiting for capture lock (881s, held by pid 8312)
· waiting for capture lock (892s, held by pid 8312)
· waiting for capture lock (903s, held by pid 8312)
· waiting for capture lock (913s, held by pid 8312)
· waiting for capture lock (923s, held by pid 8312)
· waiting for capture lock (934s, held by pid 8312)
· waiting for capture lock (945s, held by pid 8312)
· waiting for capture lock (955s, held by pid 8312)
· waiting for capture lock (966s, held by pid 8312)
· waiting for capture lock (976s, held by pid 8312)
· waiting for capture lock (987s, held by pid 8312)
· waiting for capture lock (997s, held by pid 8312)
· waiting for capture lock (1008s, held by pid 8312)
· waiting for capture lock (1019s, held by pid 8312)
· waiting for capture lock (1029s, held by pid 8312)
· waiting for capture lock (1039s, held by pid 8312)
· waiting for capture lock (1049s, held by pid 8312)
· waiting for capture lock (1060s, held by pid 8312)
· waiting for capture lock (1070s, held by pid 8312)
· waiting for capture lock (1081s, held by pid 8312)
· waiting for capture lock (1092s, held by pid 8312)
· waiting for capture lock (1103s, held by pid 8312)
· waiting for capture lock (1113s, held by pid 8312)
· waiting for capture lock (1125s, held by pid 8312)
· waiting for capture lock (1135s, held by pid 8312)
· waiting for capture lock (1146s, held by pid 8312)
· waiting for capture lock (1156s, held by pid 8312)
· waiting for capture lock (1167s, held by pid 8312)
· waiting for capture lock (1178s, held by pid 8312)
· waiting for capture lock (1188s, held by pid 8312)
· waiting for capture lock (1199s, held by pid 8312)
· waiting for capture lock (1209s, held by pid 8312)
· waiting for capture lock (1219s, held by pid 8312)
· waiting for capture lock (1229s, held by pid 8312)
· waiting for capture lock (1240s, held by pid 8312)
· waiting for capture lock (1251s, held by pid 8312)
· waiting for capture lock (1261s, held by pid 8312)
· waiting for capture lock (1272s, held by pid 8312)
· waiting for capture lock (1283s, held by pid 8312)
· waiting for capture lock (1294s, held by pid 8312)
· waiting for capture lock (1305s, held by pid 8312)
· waiting for capture lock (1315s, held by pid 8312)
· waiting for capture lock (1325s, held by pid 8312)
· waiting for capture lock (1336s, held by pid 8312)
